,r,seed
0,0.4078302546138939,Lingual
1,,Hippocampus
2,-0.4830482543889134,Medialorbitofrontal
3,-0.3576608770803678,Posteriorcingulate
4,0.3892400950206461,Temporalpole
5,0.7501379245206617,Inferiortemporal
6,,Putamen
7,0.08244260484099328,Precuneus
8,,Thalamus_Proper
9,-0.47876106168575083,Rostralanteriorcingulate
10,,Pallidum
11,0.5353180638730389,Entorhinal
12,0.35136322567362815,Pericalcarine
13,,Amygdala
14,0.581382244756656,Bankssts
15,-0.2604110882621464,Lateralorbitofrontal
16,-0.36674608946701975,Parsopercularis
17,-0.31463619473122506,Parsorbitalis
18,0.10726493884891931,Superiorparietal
19,,Caudate
20,0.31712946547769605,Cuneus
21,-0.47762919780092755,Paracentral
22,-0.6347207781920542,Superiorfrontal
23,0.4940537129100472,Inferiorparietal
24,0.44631066797262525,Superiortemporal
25,0.10626086210577892,Isthmuscingulate
26,-0.43891816658445393,Postcentral
27,-0.07507861744846782,Insula
28,-0.5353628500459643,Caudalanteriorcingulate
29,0.1356472101151464,Transversetemporal
30,-0.5799381069302014,Caudalmiddlefrontal
31,-0.3139819206492494,Parstriangularis
32,,Accumbens_area
33,,Cerebellum_Cortex
34,-0.4849215090794573,Rostralmiddlefrontal
35,-0.5525409021296346,Precentral
36,-0.5031232434034123,Frontalpole
37,0.5230120055461659,Parahippocampal
38,0.6238547280089699,Fusiform
39,0.6764486359822482,Middletemporal
40,0.44646300682535595,Lateraloccipital
41,0.1403394888907295,Supramarginal
